pid,call,time,duration,bytes,fs
55680,execve,12:50:14.020236,0.000559,0, 
55680,brk,12:50:14.021265,8.4e-05,0, 
55680,readlink,12:50:14.021548,0.000102,0, 
55680,access,12:50:14.021895,6.7e-05,0, 
55680,openat,12:50:14.022137,9.1e-05,0, 
55680,stat,12:50:14.022361,0.00012,0, 
55680,openat,12:50:14.022732,5.5e-05,0, 
55680,stat,12:50:14.023063,5.9e-05,0, 
55680,openat,12:50:14.023348,0.000161,0, 
55680,stat,12:50:14.023649,4e-05,0, 
55680,openat,12:50:14.023825,8.1e-05,0, 
55680,stat,12:50:14.024020,6.8e-05,0, 
55680,openat,12:50:14.024194,4.1e-05,0, 
55680,stat,12:50:14.024319,3.3e-05,0, 
55680,openat,12:50:14.024426,4.4e-05,0, 
55680,stat,12:50:14.024515,3.2e-05,0, 
55680,openat,12:50:14.024589,3.3e-05,0, 
55680,stat,12:50:14.024664,3.1e-05,0, 
55680,openat,12:50:14.024738,3.3e-05,0, 
55680,stat,12:50:14.024813,3.4e-05,0, 
55680,openat,12:50:14.024893,3.8e-05,0, 
55680,fstat,12:50:14.025072,6.2e-05,0, 
55680,mmap,12:50:14.025231,3.9e-05,0, 
55680,close,12:50:14.025354,3.5e-05,0, 
55680,openat,12:50:14.025474,4.5e-05,0, 
55680,read,12:50:14.025610,3.9e-05,[<4KB],/lib/x86_64-linux-gnu
55680,fstat,12:50:14.025754,3.5e-05,0, 
55680,mmap,12:50:14.025894,3.9e-05,0, 
55680,mmap,12:50:14.026046,5.9e-05,0, 
55680,mmap,12:50:14.026235,0.000138,0, 
55680,mmap,12:50:14.026549,6.4e-05,0, 
55680,mmap,12:50:14.026762,6.4e-05,0, 
55680,mmap,12:50:14.026990,3.3e-05,0, 
55680,close,12:50:14.027117,0.000191,0, 
55680,openat,12:50:14.027498,8.8e-05,0, 
55680,openat,12:50:14.027729,8.1e-05,0, 
55680,read,12:50:14.027920,3.4e-05,[<4KB],/lib/x86_64-linux-gnu
55680,fstat,12:50:14.028014,7.3e-05,0, 
55680,mmap,12:50:14.028192,7.1e-05,0, 
55680,mmap,12:50:14.028396,6.8e-05,0, 
55680,mmap,12:50:14.028565,4.2e-05,0, 
55680,mmap,12:50:14.028657,3.3e-05,0, 
55680,close,12:50:14.028744,3.4e-05,0, 
55680,openat,12:50:14.028826,3.8e-05,0, 
55680,openat,12:50:14.028916,3.6e-05,0, 
55680,read,12:50:14.029015,0.000121,[<4KB],/lib/x86_64-linux-gnu
55680,fstat,12:50:14.029228,3.1e-05,0, 
55680,mmap,12:50:14.029416,5.8e-05,0, 
55680,mmap,12:50:14.029573,7.9e-05,0, 
55680,mmap,12:50:14.029755,0.000149,0, 
55680,mmap,12:50:14.030055,8.8e-05,0, 
55680,close,12:50:14.030314,7.3e-05,0, 
55680,openat,12:50:14.030516,9.2e-05,0, 
55680,openat,12:50:14.030754,9.7e-05,0, 
55680,read,12:50:14.031045,9.2e-05,[<4KB],/lib/x86_64-linux-gnu
55680,fstat,12:50:14.031280,3.2e-05,0, 
55680,mmap,12:50:14.031485,8.4e-05,0, 
55680,mmap,12:50:14.031694,8.1e-05,0, 
55680,mmap,12:50:14.031975,8.5e-05,0, 
55680,mmap,12:50:14.032172,9.2e-05,0, 
55680,close,12:50:14.032371,9.3e-05,0, 
55680,openat,12:50:14.032644,9.8e-05,0, 
55680,openat,12:50:14.032929,6.8e-05,0, 
55680,read,12:50:14.033113,8.7e-05,[<4KB],/lib/x86_64-linux-gnu
55680,fstat,12:50:14.033345,3.2e-05,0, 
55680,mmap,12:50:14.033454,5.1e-05,0, 
55680,mmap,12:50:14.033576,4.2e-05,0, 
55680,mmap,12:50:14.033674,4.8e-05,0, 
55680,mmap,12:50:14.033773,3.5e-05,0, 
55680,mmap,12:50:14.033949,7.6e-05,0, 
55680,close,12:50:14.034144,5.6e-05,0, 
55680,openat,12:50:14.034315,7.6e-05,0, 
55680,openat,12:50:14.034497,6.5e-05,0, 
55680,read,12:50:14.034733,7.6e-05,[<4KB],/lib/x86_64-linux-gnu
55680,fstat,12:50:14.035033,3.4e-05,0, 
55680,mmap,12:50:14.035219,8e-05,0, 
55680,mmap,12:50:14.035457,9.5e-05,0, 
55680,mmap,12:50:14.035747,9.5e-05,0, 
55680,mmap,12:50:14.035989,7.2e-05,0, 
55680,close,12:50:14.036314,7.6e-05,0, 
55680,mmap,12:50:14.036555,5.8e-05,0, 
55680,mmap,12:50:14.036794,6.4e-05,0, 
55680,arch_prctl,12:50:14.036963,4.6e-05,0, 
55680,mprotect,12:50:14.037292,8.5e-05,0, 
55680,mprotect,12:50:14.037505,6.8e-05,0, 
55680,mprotect,12:50:14.037704,6.3e-05,0, 
55680,mprotect,12:50:14.037916,7.8e-05,0, 
55680,mprotect,12:50:14.038091,6.9e-05,0, 
55680,mprotect,12:50:14.038308,7.6e-05,0, 
55680,mprotect,12:50:14.041505,0.000127,0, 
55680,mprotect,12:50:14.041816,7.5e-05,0, 
55680,munmap,12:50:14.042013,7.1e-05,0, 
55680,set_tid_address,12:50:14.042256,9.5e-05,0, 
55680,set_robust_list,12:50:14.042496,6.1e-05,0, 
55680,rt_sigaction,12:50:14.042696,6.6e-05,0, 
55680,rt_sigaction,12:50:14.042929,4e-05,0, 
55680,rt_sigprocmask,12:50:14.043065,7.8e-05,0, 
55680,prlimit64,12:50:14.043259,5e-05,0, 
55680,brk,12:50:14.043594,7.1e-05,0, 
55680,brk,12:50:14.043790,7.3e-05,0, 
55680,openat,12:50:14.044039,8.1e-05,0, 
55680,fstat,12:50:14.044274,6.1e-05,0, 
55680,mmap,12:50:14.044426,7.7e-05,0, 
55680,close,12:50:14.044604,7e-05,0, 
55680,openat,12:50:14.044798,7.1e-05,0, 
55680,fstat,12:50:14.044945,3.4e-05,0, 
55680,read,12:50:14.045061,6.1e-05,[<4MB],/etc/locale.alias
55680,read,12:50:14.045259,7.3e-05,[<4MB],/etc/locale.alias
55680,close,12:50:14.045469,5.8e-05,0, 
55680,openat,12:50:14.045623,7.9e-05,0, 
55680,fstat,12:50:14.045842,7.6e-05,0, 
55680,mmap,12:50:14.046054,6.5e-05,0, 
55680,close,12:50:14.046217,7.9e-05,0, 
55680,openat,12:50:14.046472,4.4e-05,0, 
55680,fstat,12:50:14.046632,7.9e-05,0, 
55680,mmap,12:50:14.046830,7.6e-05,0, 
55680,close,12:50:14.047089,6.9e-05,0, 
55680,futex,12:50:14.047292,7.8e-05,0, 
55680,getcwd,12:50:14.047632,7.1e-05,0, 
55680,openat,12:50:14.047974,6.4e-05,0, 
